event_id,publish_date,disruption_type,location_entities,severity_score,predicted_label,predicted_probability
eee0ea7ae5,1449169483000,PORT_CONGESTION,US,9,1,0.9232
a5ef2fe834,2015-12-04,PORT_CONGESTION,"CN,IN",6,1,0.6514
6b60ad1106,2015-12-07,PORT_CONGESTION,VI,8,1,0.8743
07f8bf72df,2015-12-07,PORT_CONGESTION,US,8,1,0.8903
6c8b1af74a,1449526048000,PORT_CONGESTION,UNKNOWN,7,1,0.7766
7d3a2f0164,2015-12-09,PORT_CONGESTION,"US,CN,JP,KR",8,1,0.8797
58609b592c,2015-12-10,PORT_CONGESTION,"VI,CN,CA",9,1,0.9178
e91b3896f0,2015-12-11,PORT_CONGESTION,UNKNOWN,9,1,0.9017
b103c0b26a,2015-12-14,PORT_CONGESTION,UNKNOWN,9,1,0.9148
5c88d7cef1,2015-12-14,PORT_CONGESTION,UNKNOWN,5,1,0.5924
a90b0e3a77,2015-12-14,PORT_CONGESTION,"VI,CN,AS",7,1,0.7795
a073f3b1b5,2015-12-14,PORT_CONGESTION,UNKNOWN,8,1,0.8904
6529a95957,2015-12-15,PORT_CONGESTION,"VI,MA,EG,VE,BZ,CA,US",8,1,0.8793
40053cab57,1450305801000,PORT_CONGESTION,VI,5,1,0.5553
a6974d180b,1450446742000,PORT_CONGESTION,"MM,JP,VI",5,1,0.5599
5d29798104,2015-12-18,PORT_CONGESTION,UNKNOWN,7,1,0.7156
50a52122ff,2015-12-18,PORT_CONGESTION,"IR,AF",8,1,0.8041
cda083090c,2015-12-18,PORT_CONGESTION,GB,7,1,0.7145
d377d0c8fc,2015-12-21,PORT_CONGESTION,UNKNOWN,6,1,0.6382
f43713fcb0,2015-12-21,PORT_CONGESTION,"VI,CN",7,1,0.7646
b74e4ae6e4,2015-12-21,PORT_CONGESTION,CN,7,1,0.7891
28f9a809f8,2015-12-23,PORT_CONGESTION,CH,7,1,0.7561
21a4feee0c,2015-12-28,PORT_CONGESTION,UNKNOWN,6,1,0.638
5018f1fbdf,2015-12-28,PORT_CONGESTION,VI,7,1,0.7218
