Threshold,Precision,Recall,F1,F0.5
0.05,0.08930620761606677,0.7456445993031359,0.15950805925649864,0.108387358184765
0.1,0.1014661995588426,0.681184668989547,0.17662337662337663,0.12227920940705529
0.15,0.1104350471554609,0.632404181184669,0.18803418803418803,0.13226934849147354
0.2,0.11705453282389719,0.5871080139372822,0.19519258615696497,0.1393713813068652
0.25,0.12326896820752876,0.5505226480836237,0.20143426294820718,0.1459179903952715
0.3,0.1293812202509736,0.5209059233449478,0.2072790294627383,0.15227133835811774
0.35,0.13461996664284012,0.4921602787456446,0.21141253507951357,0.15750446030330062
0.4,0.138801261829653,0.45993031358885017,0.21324717285945072,0.16132974822781715
0.45,0.14151497357604229,0.41986062717770034,0.2116820377689943,0.16314649336582723
0.5,0.1454248366013072,0.3876306620209059,0.2115019011406844,0.16619360621452048
0.55,0.15447456368362422,0.3623693379790941,0.21661025774537881,0.174496644295302
0.6,0.1609735269000854,0.32839721254355403,0.2160458452722063,0.1792506656523393
0.65,0.16918576304241834,0.30226480836236935,0.21694279462331978,0.1855218135158255
0.7,0.18323699421965317,0.2761324041811847,0.22029186935371786,0.19645513138324244
0.75,0.19971570717839374,0.24477351916376305,0.21996086105675147,0.20734946871310508
0.8,0.21062106210621062,0.2038327526132404,0.20717131474103587,0.2092274678111588
0.85,0.23157894736842105,0.17247386759581881,0.19770344483275087,0.21672504378283713
0.9,0.24500907441016334,0.11759581881533102,0.15891701000588582,0.20137231503579953
0.95,0.30434782608695654,0.06707317073170732,0.10992148465381871,0.17824074074074073
